"ticker","id","country","type_label"
"FLEX US Equity","Flex Ltd","US","Technology Hardware & Equipmen"
"ICHR US Equity","Ichor Holdings Ltd","US","Semiconductors & Semiconductor"
"CLS CN Equity","Celestica Inc","CA","Technology Hardware & Equipmen"
"MKSI US Equity","MKS Instruments Inc","US","Semiconductors & Semiconductor"
"UCTT US Equity","Ultra Clean Holdings Inc","US","Semiconductors & Semiconductor"
"MU US Equity","Micron Technology Inc","US","Semiconductors & Semiconductor"
"6981 JP Equity","Murata Manufacturing Co Ltd","JP","Technology Hardware & Equipmen"
"6762 JP Equity","TDK Corp","JP","Technology Hardware & Equipmen"
"QCOM US Equity","QUALCOMM Inc","US","Semiconductors & Semiconductor"
"SGH US Equity","SMART Global Holdings Inc","US","Semiconductors & Semiconductor"
"TXN US Equity","Texas Instruments Inc","US","Semiconductors & Semiconductor"
"6752 JP Equity","Panasonic Corp","JP","Consumer Durables & Apparel"
"IFX GR Equity","Infineon Technologies AG","DE","Semiconductors & Semiconductor"
"AVGO US Equity","Broadcom Inc","US","Semiconductors & Semiconductor"
"IPGP US Equity","IPG Photonics Corp","US","Technology Hardware & Equipmen"
"TTMI US Equity","TTM Technologies Inc","US","Technology Hardware & Equipmen"
"GHH LN Equity","Gooch & Housego PLC","GB","Technology Hardware & Equipmen"
"LITE US Equity","Lumentum Holdings Inc","US","Technology Hardware & Equipmen"
"AMAT US Equity","Applied Materials Inc","US","Semiconductors & Semiconductor"
"8035 JP Equity","Tokyo Electron Ltd","JP","Semiconductors & Semiconductor"
"ASML NA Equity","ASML Holding NV","NL","Semiconductors & Semiconductor"
"LRCX US Equity","Lam Research Corp","US","Semiconductors & Semiconductor"
"6239 TT Equity","Powertech Technology Inc","TW","Semiconductors & Semiconductor"
"7537 JP Equity","Marubun Corp","JP","Technology Hardware & Equipmen"
"247540 KS Equity","Ecopro BM Co Ltd","KR","Capital Goods"
"6971 JP Equity","Kyocera Corp","JP","Technology Hardware & Equipmen"
"SOLB BB Equity","Solvay SA","BE","Materials"
"PTSN IJ Equity","Sat Nusapersada Tbk PT","ID","Technology Hardware & Equipmen"
"2330 TT Equity","Taiwan Semiconductor Manufacturing Co Ltd","TW","Semiconductors & Semiconductor"
"5486 JP Equity","Hitachi Metals Ltd","JP","Materials"
"4208 JP Equity","Ube Industries Ltd","JP","Materials"
"3402 JP Equity","Toray Industries Inc","JP","Materials"
"4004 JP Equity","Showa Denko KK","JP","Materials"
"981 HK Equity","Semiconductor Manufacturing International Corp","CN","Semiconductors & Semiconductor"
"AMKR US Equity","Amkor Technology Inc","US","Semiconductors & Semiconductor"
"600584 CH Equity","Jiangsu Changjiang Electronics Technology Co Ltd","CN","Semiconductors & Semiconductor"
"2303 TT Equity","United Microelectronics Corp","TW","Semiconductors & Semiconductor"
"INTC US Equity","Intel Corp","US","Semiconductors & Semiconductor"
"000660 KS Equity","SK Hynix Inc","KR","Semiconductors & Semiconductor"
"005930 KS Equity","Samsung Electronics Co Ltd","KR","Technology Hardware & Equipmen"
"AMD US Equity","Advanced Micro Devices Inc","US","Semiconductors & Semiconductor"
"BAS GR Equity","BASF SE","DE","Materials"
"5713 JP Equity","Sumitomo Metal Mining Co Ltd","JP","Materials"
"TSEM IT Equity","Tower Semiconductor Ltd","IL","Semiconductors & Semiconductor"
"6594 JP Equity","Nidec Corp","JP","Capital Goods"
"8084 JP Equity","Ryoden Corp","JP","Technology Hardware & Equipmen"
"WAF GR Equity","Siltronic AG","DE","Semiconductors & Semiconductor"
